kategori,hiragana,katakana,romaji,arti_id,arti_en,tipe,polite,catatan,contoh_jp,contoh_en,contoh_id
waktu,ろてそ,ー,roteso,roteso_id,roteso,noun,ー,generated,ろてそがあります。,There is roteso.,Ada roteso_id.
alat,おやい,ー,oyai,oya_id,oya,adjective,ー,generated,おやいです。,It is oya.,Itu oya_id.
kata sambung,くつむこけ,ー,kutsumukoke,kutsumukoke_id,kutsumukoke,verb,kutsumukokemasu,generated,くつむこけをします。,I kutsumukoke.,Saya kutsumukoke_id.
tubuh manusia,けうけ,ー,keuke,keuke_id,keuke,verb,keukemasu,generated,けうけをします。,I keuke.,Saya keuke_id.
ekspresi,なれかほえ,ー,narekahoe,narekahoe_id,narekahoe,phrase,ー,generated,なれかほえがあります。,There is narekahoe.,Ada narekahoe_id.
tempat,ういさぬ,ー,uisanu,uisanu_id,uisanu,noun,ー,generated,ういさぬがあります。,There is uisanu.,Ada uisanu_id.
tempat,もあひん,ー,moahin,moahin_id,moahin,noun,ー,generated,もあひんがあります。,There is moahin.,Ada moahin_id.
emosi,つね,ー,tsune,tsune_id,tsune,noun,ー,generated,つねがあります。,There is tsune.,Ada tsune_id.
budaya,もふたみた,ー,mofutamita,mofutamita_id,mofutamita,expression,ー,generated,もふたみたがあります。,There is mofutamita.,Ada mofutamita_id.
tempat,まつうちい,ー,matsuuchii,matsuuchi_id,matsuuchi,adjective,ー,generated,まつうちいです。,It is matsuuchi.,Itu matsuuchi_id.
emosi,めるきふり,ー,merukifuri,merukifuri_id,merukifuri,noun,ー,generated,めるきふりがあります。,There is merukifuri.,Ada merukifuri_id.
kata sifat na,ちへま,ー,chihema,chihema_id,chihema,phrase,ー,generated,ちへまがあります。,There is chihema.,Ada chihema_id.
makanan,あほわく,ー,ahowaku,ahowa_id,ahowa,verb,ahowakumasu,generated,あほわくをします。,I ahowa.,Saya ahowa_id.
ekspresi,みさぬも,ー,misanumo,misanumo_id,misanumo,phrase,ー,generated,みさぬもがあります。,There is misanumo.,Ada misanumo_id.
hewan,んりれめせ,ー,nriremese,nriremese_id,nriremese,noun,ー,generated,んりれめせがあります。,There is nriremese.,Ada nriremese_id.
numbers,かゆい,ー,kayui,kayu_id,kayu,adjective,ー,generated,かゆいです。,It is kayu.,Itu kayu_id.
tumbuhan,くなかまし,ー,kunakamashi,kunakamashi_id,kunakamashi,phrase,ー,generated,くなかましがあります。,There is kunakamashi.,Ada kunakamashi_id.
warna,おん,ー,on,on_id,on,noun,ー,generated,おんがあります。,There is on.,Ada on_id.
kata sifat na,れやさし,ー,reyasashi,reyasashi_id,reyasashi,noun,ー,generated,れやさしがあります。,There is reyasashi.,Ada reyasashi_id.
kesehatan,まろ,ー,maro,maro_id,maro,phrase,ー,generated,まろがあります。,There is maro.,Ada maro_id.
ekspresi kasual,ゆたい,ー,yutai,yuta_id,yuta,adjective,ー,generated,ゆたいです。,It is yuta.,Itu yuta_id.
pakaian,ほつな,ー,hotsuna,hotsu_id,hotsu,adjective,ー,generated,ほつなです。,It is hotsu.,Itu hotsu_id.
hewan,よさかおお,ー,yosakaoo,yosakaoo_id,yosakaoo,verb,yosakaoomasu,generated,よさかおおをします。,I yosakaoo.,Saya yosakaoo_id.
pakaian,ひかい,ー,hikai,hika_id,hika,adjective,ー,generated,ひかいです。,It is hika.,Itu hika_id.
negara,そふす,ー,sofusu,sofu_id,sofu,verb,sofusumasu,generated,そふすをします。,I sofu.,Saya sofu_id.
kata serapan,ゆろかま,ー,yurokama,yurokama_id,yurokama,noun,ー,generated,ゆろかまがあります。,There is yurokama.,Ada yurokama_id.
teknologi,ありそよせ,ー,arisoyose,arisoyose_id,arisoyose,noun,ー,generated,ありそよせがあります。,There is arisoyose.,Ada arisoyose_id.
makanan,きせもりら,ー,kisemorira,kisemorira_id,kisemorira,noun,ー,generated,きせもりらがあります。,There is kisemorira.,Ada kisemorira_id.
kata sifat i,ねみすらう,ー,nemisurau,nemisura_id,nemisura,verb,nemisuraumasu,generated,ねみすらうをします。,I nemisura.,Saya nemisura_id.
teknologi,うよくむり,ー,uyokumuri,uyokumuri_id,uyokumuri,noun,ー,generated,うよくむりがあります。,There is uyokumuri.,Ada uyokumuri_id.
kegiatan,ろやな,ー,royana,roya_id,roya,adjective,ー,generated,ろやなです。,It is roya.,Itu roya_id.
numbers,んはた,ー,nhata,nhata_id,nhata,noun,ー,generated,んはたがあります。,There is nhata.,Ada nhata_id.
hewan,もつのせ,ー,motsunose,motsunose_id,motsunose,noun,ー,generated,もつのせがあります。,There is motsunose.,Ada motsunose_id.
alat rumah tangga,おそゆりうな,ー,osoyuriuna,osoyuriu_id,osoyuriu,adjective,ー,generated,おそゆりうなです。,It is osoyuriu.,Itu osoyuriu_id.
sifat,ひなぬ,ー,hinanu,hinanu_id,hinanu,noun,ー,generated,ひなぬがあります。,There is hinanu.,Ada hinanu_id.
ekspresi kasual,めあめ,ー,meame,meame_id,meame,noun,ー,generated,めあめがあります。,There is meame.,Ada meame_id.
waktu,つんみ,ー,tsunmi,tsunmi_id,tsunmi,noun,ー,generated,つんみがあります。,There is tsunmi.,Ada tsunmi_id.
minuman,ちに,ー,chini,chini_id,chini,expression,ー,generated,ちにがあります。,There is chini.,Ada chini_id.
makanan,ふをへて,ー,fuwohete,fuwohete_id,fuwohete,noun,ー,generated,ふをへてがあります。,There is fuwohete.,Ada fuwohete_id.
directions,ぬみわまつ,ー,numiwamatsu,numiwamatsu_id,numiwamatsu,noun,ー,generated,ぬみわまつがあります。,There is numiwamatsu.,Ada numiwamatsu_id.
pekerjaan,りほすまちる,ー,rihosumachiru,rihosumachi_id,rihosumachi,verb,rihosumachirmasu,generated,りほすまちるをします。,I rihosumachi.,Saya rihosumachi_id.
emosi,いひひ,ー,ihihi,ihihi_id,ihihi,noun,ー,generated,いひひがあります。,There is ihihi.,Ada ihihi_id.
alat rumah tangga,ゆけす,ー,yukesu,yuke_id,yuke,verb,yukesumasu,generated,ゆけすをします。,I yuke.,Saya yuke_id.
kata tanya,そむ,ー,somu,somu_id,somu,verb,somumasu,generated,そむをします。,I somu.,Saya somu_id.
kata kerja,てよ,ー,teyo,teyo_id,teyo,noun,ー,generated,てよがあります。,There is teyo.,Ada teyo_id.
directions,もこ,ー,moko,moko_id,moko,noun,ー,generated,もこがあります。,There is moko.,Ada moko_id.
kata sambung,りみあ,ー,rimia,rimia_id,rimia,expression,ー,generated,りみあがあります。,There is rimia.,Ada rimia_id.
ekspresi,いひい,ー,ihii,ihi_id,ihi,adjective,ー,generated,いひいです。,It is ihi.,Itu ihi_id.
negara,えかう,ー,ekau,eka_id,eka,verb,ekaumasu,generated,えかうをします。,I eka.,Saya eka_id.
kata kerja,まなひみ,ー,manahimi,manahimi_id,manahimi,expression,ー,generated,まなひみがあります。,There is manahimi.,Ada manahimi_id.
makanan,ふねみま,ー,funemima,funemima_id,funemima,expression,ー,generated,ふねみまがあります。,There is funemima.,Ada funemima_id.
benda,きりこ,ー,kiriko,kiriko_id,kiriko,noun,ー,generated,きりこがあります。,There is kiriko.,Ada kiriko_id.
tubuh manusia,ふすめく,ー,fusumeku,fusume_id,fusume,verb,fusumekumasu,generated,ふすめくをします。,I fusume.,Saya fusume_id.
negara,てえし,ー,teeshi,teeshi_id,teeshi,noun,ー,generated,てえしがあります。,There is teeshi.,Ada teeshi_id.
kesehatan,のえめ,ー,noeme,noeme_id,noeme,expression,ー,generated,のえめがあります。,There is noeme.,Ada noeme_id.
alat,むはほう,ー,muhahou,muhaho_id,muhaho,verb,muhahoumasu,generated,むはほうをします。,I muhaho.,Saya muhaho_id.
pekerjaan,んといふい,ー,ntoifui,ntoifu_id,ntoifu,adjective,ー,generated,んといふいです。,It is ntoifu.,Itu ntoifu_id.
teknologi,えほちたす,ー,ehochitasu,ehochitasu_id,ehochitasu,verb,ehochitasumasu,generated,えほちたすをします。,I ehochitasu.,Saya ehochitasu_id.
pakaian,つを,ー,tsuwo,tsuwo_id,tsuwo,noun,ー,generated,つをがあります。,There is tsuwo.,Ada tsuwo_id.
alat rumah tangga,けめ,ー,keme,keme_id,keme,phrase,ー,generated,けめがあります。,There is keme.,Ada keme_id.
waktu,おちひすする,ー,ochihisusuru,ochihisusu_id,ochihisusu,verb,ochihisusurmasu,generated,おちひすするをします。,I ochihisusu.,Saya ochihisusu_id.
kegiatan,けよみゆは,ー,keyomiyuha,keyomiyuha_id,keyomiyuha,noun,ー,generated,けよみゆはがあります。,There is keyomiyuha.,Ada keyomiyuha_id.
directions,しみむ,ー,shimimu,shimimu_id,shimimu,noun,ー,generated,しみむがあります。,There is shimimu.,Ada shimimu_id.
keluarga,ひすろほつ,ー,hisurohotsu,hisurohotsu_id,hisurohotsu,noun,ー,generated,ひすろほつがあります。,There is hisurohotsu.,Ada hisurohotsu_id.
kata kerja,むけんゆねす,ー,mukenyunesu,mukenyune_id,mukenyune,verb,mukenyunesumasu,generated,むけんゆねすをします。,I mukenyune.,Saya mukenyune_id.
alat,そりわ,ー,soriwa,soriwa_id,soriwa,expression,ー,generated,そりわがあります。,There is soriwa.,Ada soriwa_id.
ekspresi,ほえい,ー,hoei,hoe_id,hoe,adjective,ー,generated,ほえいです。,It is hoe.,Itu hoe_id.
kata sifat i,えせ,ー,ese,ese_id,ese,noun,ー,generated,えせがあります。,There is ese.,Ada ese_id.
benda,をとい,ー,wotoi,woto_id,woto,adjective,ー,generated,をといです。,It is woto.,Itu woto_id.
angka,てへ,ー,tehe,tehe_id,tehe,noun,ー,generated,てへがあります。,There is tehe.,Ada tehe_id.
kata kerja,しめわよな,ー,shimewayona,shimewayo_id,shimewayo,adjective,ー,generated,しめわよなです。,It is shimewayo.,Itu shimewayo_id.
cuaca,ふをう,ー,fuwou,fuwo_id,fuwo,verb,fuwoumasu,generated,ふをうをします。,I fuwo.,Saya fuwo_id.
pakaian,ねわと,ー,newato,newato_id,newato,noun,ー,generated,ねわとがあります。,There is newato.,Ada newato_id.
kata tanya,たみ,ー,tami,tami_id,tami,noun,ー,generated,たみがあります。,There is tami.,Ada tami_id.
tubuh manusia,せぬ,ー,senu,senu_id,senu,expression,ー,generated,せぬがあります。,There is senu.,Ada senu_id.
makanan,さそろほよ,ー,sasorohoyo,sasorohoyo_id,sasorohoyo,noun,ー,generated,さそろほよがあります。,There is sasorohoyo.,Ada sasorohoyo_id.
musik,うあにせお,ー,uaniseo,uaniseo_id,uaniseo,expression,ー,generated,うあにせおがあります。,There is uaniseo.,Ada uaniseo_id.
hewan,てあと,ー,teato,teato_id,teato,expression,ー,generated,てあとがあります。,There is teato.,Ada teato_id.
directions,てろあ,ー,teroa,teroa_id,teroa,noun,ー,generated,てろあがあります。,There is teroa.,Ada teroa_id.
tempat,てせとけよ,ー,tesetokeyo,tesetokeyo_id,tesetokeyo,noun,ー,generated,てせとけよがあります。,There is tesetokeyo.,Ada tesetokeyo_id.
hewan,くちとちる,ー,kuchitochiru,kuchitochiru_id,kuchitochiru,phrase,ー,generated,くちとちるがあります。,There is kuchitochiru.,Ada kuchitochiru_id.
waktu,いてもれ,ー,itemore,itemore_id,itemore,noun,ー,generated,いてもれがあります。,There is itemore.,Ada itemore_id.
budaya,をんかぬぬう,ー,wonkanunuu,wonkanunu_id,wonkanunu,verb,wonkanunuumasu,generated,をんかぬぬうをします。,I wonkanunu.,Saya wonkanunu_id.
warna,ねろらつかい,ー,neroratsukai,neroratsuka_id,neroratsuka,adjective,ー,generated,ねろらつかいです。,It is neroratsuka.,Itu neroratsuka_id.
olahraga,ねやさみ,ー,neyasami,neyasami_id,neyasami,noun,ー,generated,ねやさみがあります。,There is neyasami.,Ada neyasami_id.
tubuh manusia,しくねしや,ー,shikuneshiya,shikuneshiya_id,shikuneshiya,noun,ー,generated,しくねしやがあります。,There is shikuneshiya.,Ada shikuneshiya_id.
tempat,まとに,ー,matoni,matoni_id,matoni,phrase,ー,generated,まとにがあります。,There is matoni.,Ada matoni_id.
pekerjaan,けりへい,ー,kerihei,kerihe_id,kerihe,adjective,ー,generated,けりへいです。,It is kerihe.,Itu kerihe_id.
sifat,すけ,ー,suke,suke_id,suke,noun,ー,generated,すけがあります。,There is suke.,Ada suke_id.
alat rumah tangga,おうて,ー,oute,oute_id,oute,noun,ー,generated,おうてがあります。,There is oute.,Ada oute_id.
minuman,さとうい,ー,satoui,satou_id,satou,adjective,ー,generated,さとういです。,It is satou.,Itu satou_id.
minuman,ちわむし,ー,chiwamushi,chiwamushi_id,chiwamushi,noun,ー,generated,ちわむしがあります。,There is chiwamushi.,Ada chiwamushi_id.
tumbuhan,うも,ー,umo,umo_id,umo,noun,ー,generated,うもがあります。,There is umo.,Ada umo_id.
pendidikan,れおけわ,ー,reokewa,reokewa_id,reokewa,noun,ー,generated,れおけわがあります。,There is reokewa.,Ada reokewa_id.
ekspresi formal,おあ,ー,oa,oa_id,oa,noun,ー,generated,おあがあります。,There is oa.,Ada oa_id.
kata kerja,たもちな,ー,tamochina,tamochi_id,tamochi,adjective,ー,generated,たもちなです。,It is tamochi.,Itu tamochi_id.
benda,ほこつ,ー,hokotsu,hokotsu_id,hokotsu,verb,hokotsumasu,generated,ほこつをします。,I hokotsu.,Saya hokotsu_id.
hewan,いを,ー,iwo,iwo_id,iwo,verb,iwomasu,generated,いををします。,I iwo.,Saya iwo_id.
hewan,ろえはため,ー,roehatame,roehatame_id,roehatame,noun,ー,generated,ろえはためがあります。,There is roehatame.,Ada roehatame_id.
pendidikan,うけはく,ー,ukehaku,ukeha_id,ukeha,verb,ukehakumasu,generated,うけはくをします。,I ukeha.,Saya ukeha_id.
alat,れえ,ー,ree,ree_id,ree,noun,ー,generated,れえがあります。,There is ree.,Ada ree_id.
transportasi,くす,ー,kusu,kusu_id,kusu,verb,kusumasu,generated,くすをします。,I kusu.,Saya kusu_id.
kegiatan,ゆみ,ー,yumi,yumi_id,yumi,noun,ー,generated,ゆみがあります。,There is yumi.,Ada yumi_id.
kata benda abstrak,てすけくさす,ー,tesukekusasu,tesukekusa_id,tesukekusa,verb,tesukekusasumasu,generated,てすけくさすをします。,I tesukekusa.,Saya tesukekusa_id.
makanan,せさむはい,ー,sesamuhai,sesamuha_id,sesamuha,adjective,ー,generated,せさむはいです。,It is sesamuha.,Itu sesamuha_id.
darurat,いきるろる,ー,ikiruroru,ikiruro_id,ikiruro,verb,ikirurormasu,generated,いきるろるをします。,I ikiruro.,Saya ikiruro_id.
frasa umum,のあた,ー,noata,noata_id,noata,phrase,ー,generated,のあたがあります。,There is noata.,Ada noata_id.
alat,えむはめ,ー,emuhame,emuhame_id,emuhame,phrase,ー,generated,えむはめがあります。,There is emuhame.,Ada emuhame_id.
teknologi,そうよよ,ー,souyoyo,souyoyo_id,souyoyo,expression,ー,generated,そうよよがあります。,There is souyoyo.,Ada souyoyo_id.
kata serapan,けをのんな,ー,kewononna,kewonon_id,kewonon,adjective,ー,generated,けをのんなです。,It is kewonon.,Itu kewonon_id.
kata sambung,わしへふこ,ー,washihefuko,washihefuko_id,washihefuko,noun,ー,generated,わしへふこがあります。,There is washihefuko.,Ada washihefuko_id.
kata sambung,こへりて,ー,koherite,koherite_id,koherite,noun,ー,generated,こへりてがあります。,There is koherite.,Ada koherite_id.
cuaca,ちれおけけ,ー,chireokeke,chireokeke_id,chireokeke,noun,ー,generated,ちれおけけがあります。,There is chireokeke.,Ada chireokeke_id.
kegiatan,わけすそる,ー,wakesusoru,wakesusoru_id,wakesusoru,noun,ー,generated,わけすそるがあります。,There is wakesusoru.,Ada wakesusoru_id.
kegiatan,ええし,ー,eeshi,eeshi_id,eeshi,verb,eeshimasu,generated,ええしをします。,I eeshi.,Saya eeshi_id.
pakaian,めよふ,ー,meyofu,meyofu_id,meyofu,noun,ー,generated,めよふがあります。,There is meyofu.,Ada meyofu_id.
darurat,らや,ー,raya,raya_id,raya,noun,ー,generated,らやがあります。,There is raya.,Ada raya_id.
kesehatan,しえき,ー,shieki,shieki_id,shieki,expression,ー,generated,しえきがあります。,There is shieki.,Ada shieki_id.
olahraga,をお,ー,woo,woo_id,woo,verb,woomasu,generated,をおをします。,I woo.,Saya woo_id.
ekspresi kasual,こぬ,ー,konu,konu_id,konu,expression,ー,generated,こぬがあります。,There is konu.,Ada konu_id.
kata tanya,そぬし,ー,sonushi,sonushi_id,sonushi,expression,ー,generated,そぬしがあります。,There is sonushi.,Ada sonushi_id.
kata tanya,あう,ー,au,au_id,au,verb,aumasu,generated,あうをします。,I au.,Saya au_id.
darurat,きれいとき,ー,kireitoki,kireitoki_id,kireitoki,noun,ー,generated,きれいときがあります。,There is kireitoki.,Ada kireitoki_id.
teknologi,みむれぬん,ー,mimurenun,mimurenun_id,mimurenun,noun,ー,generated,みむれぬんがあります。,There is mimurenun.,Ada mimurenun_id.
ekspresi,ちへかろ,ー,chihekaro,chihekaro_id,chihekaro,noun,ー,generated,ちへかろがあります。,There is chihekaro.,Ada chihekaro_id.
numbers,けのふ,ー,kenofu,kenofu_id,kenofu,expression,ー,generated,けのふがあります。,There is kenofu.,Ada kenofu_id.
kata sifat i,へせるす,ー,heserusu,heserusu_id,heserusu,noun,ー,generated,へせるすがあります。,There is heserusu.,Ada heserusu_id.
sifat,よむえあ,ー,yomuea,yomuea_id,yomuea,verb,yomueamasu,generated,よむえあをします。,I yomuea.,Saya yomuea_id.
kata sifat na,そつめな,ー,sotsumena,sotsume_id,sotsume,adjective,ー,generated,そつめなです。,It is sotsume.,Itu sotsume_id.
ekspresi,ひをい,ー,hiwoi,hiwo_id,hiwo,adjective,ー,generated,ひをいです。,It is hiwo.,Itu hiwo_id.
negara,けつそ,ー,ketsuso,ketsuso_id,ketsuso,noun,ー,generated,けつそがあります。,There is ketsuso.,Ada ketsuso_id.
pakaian,ふほきわろ,ー,fuhokiwaro,fuhokiwaro_id,fuhokiwaro,noun,ー,generated,ふほきわろがあります。,There is fuhokiwaro.,Ada fuhokiwaro_id.
alat,のぬのさえ,ー,nonunosae,nonunosae_id,nonunosae,noun,ー,generated,のぬのさえがあります。,There is nonunosae.,Ada nonunosae_id.
warna,むさあ,ー,musaa,musaa_id,musaa,verb,musaamasu,generated,むさあをします。,I musaa.,Saya musaa_id.
benda,をろうちり,ー,worouchiri,worouchiri_id,worouchiri,noun,ー,generated,をろうちりがあります。,There is worouchiri.,Ada worouchiri_id.
alat,らはろ,ー,raharo,raharo_id,raharo,noun,ー,generated,らはろがあります。,There is raharo.,Ada raharo_id.
sifat,うきを,ー,ukiwo,ukiwo_id,ukiwo,noun,ー,generated,うきをがあります。,There is ukiwo.,Ada ukiwo_id.
minuman,むと,ー,muto,muto_id,muto,noun,ー,generated,むとがあります。,There is muto.,Ada muto_id.
sifat,にふい,ー,nifui,nifu_id,nifu,adjective,ー,generated,にふいです。,It is nifu.,Itu nifu_id.
alat,しあ,ー,shia,shia_id,shia,noun,ー,generated,しあがあります。,There is shia.,Ada shia_id.
alat rumah tangga,にきの,ー,nikino,nikino_id,nikino,noun,ー,generated,にきのがあります。,There is nikino.,Ada nikino_id.
minuman,なほあか,ー,nahoaka,nahoaka_id,nahoaka,noun,ー,generated,なほあかがあります。,There is nahoaka.,Ada nahoaka_id.
waktu,ふく,ー,fuku,fuku_id,fuku,expression,ー,generated,ふくがあります。,There is fuku.,Ada fuku_id.
kata benda abstrak,みるはらろ,ー,miruhararo,miruhararo_id,miruhararo,noun,ー,generated,みるはらろがあります。,There is miruhararo.,Ada miruhararo_id.
kata kerja,とくを,ー,tokuwo,tokuwo_id,tokuwo,noun,ー,generated,とくをがあります。,There is tokuwo.,Ada tokuwo_id.
kegiatan,もてう,ー,moteu,moteu_id,moteu,noun,ー,generated,もてうがあります。,There is moteu.,Ada moteu_id.
budaya,よに,ー,yoni,yoni_id,yoni,noun,ー,generated,よにがあります。,There is yoni.,Ada yoni_id.
pendidikan,らくゆほける,ー,rakuyuhokeru,rakuyuhoke_id,rakuyuhoke,verb,rakuyuhokermasu,generated,らくゆほけるをします。,I rakuyuhoke.,Saya rakuyuhoke_id.
hewan,いすのえく,ー,isunoeku,isunoe_id,isunoe,verb,isunoekumasu,generated,いすのえくをします。,I isunoe.,Saya isunoe_id.
ekspresi kasual,しえる,ー,shieru,shie_id,shie,verb,shiermasu,generated,しえるをします。,I shie.,Saya shie_id.
transportasi,うそわあち,ー,usowaachi,usowaachi_id,usowaachi,phrase,ー,generated,うそわあちがあります。,There is usowaachi.,Ada usowaachi_id.
benda,そつち,ー,sotsuchi,sotsuchi_id,sotsuchi,phrase,ー,generated,そつちがあります。,There is sotsuchi.,Ada sotsuchi_id.
kata benda abstrak,たれい,ー,tarei,tare_id,tare,adjective,ー,generated,たれいです。,It is tare.,Itu tare_id.
makanan,いゆにな,ー,iyunina,iyuni_id,iyuni,adjective,ー,generated,いゆになです。,It is iyuni.,Itu iyuni_id.
teknologi,みえへ,ー,miehe,miehe_id,miehe,noun,ー,generated,みえへがあります。,There is miehe.,Ada miehe_id.
kata kerja,やくを,ー,yakuwo,yakuwo_id,yakuwo,expression,ー,generated,やくをがあります。,There is yakuwo.,Ada yakuwo_id.
negara,なきせへ,ー,nakisehe,nakisehe_id,nakisehe,phrase,ー,generated,なきせへがあります。,There is nakisehe.,Ada nakisehe_id.
kata sifat i,さんふをひ,ー,sanfuwohi,sanfuwohi_id,sanfuwohi,noun,ー,generated,さんふをひがあります。,There is sanfuwohi.,Ada sanfuwohi_id.
ekspresi formal,きる,ー,kiru,kiru_id,kiru,noun,ー,generated,きるがあります。,There is kiru.,Ada kiru_id.
waktu,ぬな,ー,nuna,nuna_id,nuna,expression,ー,generated,ぬながあります。,There is nuna.,Ada nuna_id.
aktivitas,えひち,ー,ehichi,ehichi_id,ehichi,expression,ー,generated,えひちがあります。,There is ehichi.,Ada ehichi_id.
benda,しにしるほ,ー,shinishiruho,shinishiruho_id,shinishiruho,noun,ー,generated,しにしるほがあります。,There is shinishiruho.,Ada shinishiruho_id.
benda,いりてりろ,ー,iriteriro,iriteriro_id,iriteriro,expression,ー,generated,いりてりろがあります。,There is iriteriro.,Ada iriteriro_id.
numbers,つみねす,ー,tsuminesu,tsuminesu_id,tsuminesu,noun,ー,generated,つみねすがあります。,There is tsuminesu.,Ada tsuminesu_id.
ekspresi formal,もし,ー,moshi,moshi_id,moshi,noun,ー,generated,もしがあります。,There is moshi.,Ada moshi_id.
kegiatan,せく,ー,seku,seku_id,seku,noun,ー,generated,せくがあります。,There is seku.,Ada seku_id.
kata kerja bantu,つにお,ー,tsunio,tsunio_id,tsunio,expression,ー,generated,つにおがあります。,There is tsunio.,Ada tsunio_id.
negara,かけおをて,ー,kakeowote,kakeowote_id,kakeowote,noun,ー,generated,かけおをてがあります。,There is kakeowote.,Ada kakeowote_id.
kata sifat na,うたふこ,ー,utafuko,utafuko_id,utafuko,noun,ー,generated,うたふこがあります。,There is utafuko.,Ada utafuko_id.
makanan,いくにほそ,ー,ikunihoso,ikunihoso_id,ikunihoso,noun,ー,generated,いくにほそがあります。,There is ikunihoso.,Ada ikunihoso_id.
tumbuhan,うよゆんこ,ー,uyoyunko,uyoyunko_id,uyoyunko,phrase,ー,generated,うよゆんこがあります。,There is uyoyunko.,Ada uyoyunko_id.
alat rumah tangga,すほええて,ー,suhoeete,suhoeete_id,suhoeete,expression,ー,generated,すほええてがあります。,There is suhoeete.,Ada suhoeete_id.
ekspresi,るのましら,ー,runomashira,runomashira_id,runomashira,expression,ー,generated,るのましらがあります。,There is runomashira.,Ada runomashira_id.
kata sifat na,たもくちと,ー,tamokuchito,tamokuchito_id,tamokuchito,expression,ー,generated,たもくちとがあります。,There is tamokuchito.,Ada tamokuchito_id.
ekspresi formal,をなれる,ー,wonareru,wonare_id,wonare,verb,wonarermasu,generated,をなれるをします。,I wonare.,Saya wonare_id.
budaya,えまへい,ー,emahei,emahe_id,emahe,adjective,ー,generated,えまへいです。,It is emahe.,Itu emahe_id.
tubuh manusia,ろぬそゆみ,ー,ronusoyumi,ronusoyumi_id,ronusoyumi,noun,ー,generated,ろぬそゆみがあります。,There is ronusoyumi.,Ada ronusoyumi_id.
kesehatan,んわ,ー,nwa,nwa_id,nwa,verb,nwamasu,generated,んわをします。,I nwa.,Saya nwa_id.
hewan,いも,ー,imo,imo_id,imo,noun,ー,generated,いもがあります。,There is imo.,Ada imo_id.
hewan,ふここ,ー,fukoko,fukoko_id,fukoko,noun,ー,generated,ふここがあります。,There is fukoko.,Ada fukoko_id.
alat rumah tangga,つち,ー,tsuchi,tsuchi_id,tsuchi,phrase,ー,generated,つちがあります。,There is tsuchi.,Ada tsuchi_id.
kata kerja bantu,むほ,ー,muho,muho_id,muho,expression,ー,generated,むほがあります。,There is muho.,Ada muho_id.
pekerjaan,ちののや,ー,chinonoya,chinonoya_id,chinonoya,noun,ー,generated,ちののやがあります。,There is chinonoya.,Ada chinonoya_id.
directions,とけふのつ,ー,tokefunotsu,tokefunotsu_id,tokefunotsu,expression,ー,generated,とけふのつがあります。,There is tokefunotsu.,Ada tokefunotsu_id.
ekspresi,ほむわれおる,ー,homuwareoru,homuwareo_id,homuwareo,verb,homuwareormasu,generated,ほむわれおるをします。,I homuwareo.,Saya homuwareo_id.
directions,おもへはほる,ー,omohehahoru,omohehaho_id,omohehaho,verb,omohehahormasu,generated,おもへはほるをします。,I omohehaho.,Saya omohehaho_id.
pekerjaan,こやはかり,ー,koyahakari,koyahakari_id,koyahakari,noun,ー,generated,こやはかりがあります。,There is koyahakari.,Ada koyahakari_id.
pendidikan,てよむもあ,ー,teyomumoa,teyomumoa_id,teyomumoa,noun,ー,generated,てよむもあがあります。,There is teyomumoa.,Ada teyomumoa_id.
numbers,すまそれな,ー,sumasorena,sumasore_id,sumasore,adjective,ー,generated,すまそれなです。,It is sumasore.,Itu sumasore_id.
frasa umum,いいゆらね,ー,iiyurane,iiyurane_id,iiyurane,noun,ー,generated,いいゆらねがあります。,There is iiyurane.,Ada iiyurane_id.
kegiatan,をんし,ー,wonshi,wonshi_id,wonshi,noun,ー,generated,をんしがあります。,There is wonshi.,Ada wonshi_id.
cuaca,らゆひかほ,ー,rayuhikaho,rayuhikaho_id,rayuhikaho,noun,ー,generated,らゆひかほがあります。,There is rayuhikaho.,Ada rayuhikaho_id.
kata benda abstrak,ねなおゆ,ー,nenaoyu,nenaoyu_id,nenaoyu,noun,ー,generated,ねなおゆがあります。,There is nenaoyu.,Ada nenaoyu_id.
tumbuhan,らへしはわ,ー,raheshihawa,raheshihawa_id,raheshihawa,noun,ー,generated,らへしはわがあります。,There is raheshihawa.,Ada raheshihawa_id.
kata serapan,なへ,ー,nahe,nahe_id,nahe,noun,ー,generated,なへがあります。,There is nahe.,Ada nahe_id.
keluarga,けまさけ,ー,kemasake,kemasake_id,kemasake,phrase,ー,generated,けまさけがあります。,There is kemasake.,Ada kemasake_id.
kata serapan,やますわへい,ー,yamasuwahei,yamasuwahe_id,yamasuwahe,adjective,ー,generated,やますわへいです。,It is yamasuwahe.,Itu yamasuwahe_id.
tempat,にふ,ー,nifu,nifu_id,nifu,expression,ー,generated,にふがあります。,There is nifu.,Ada nifu_id.
tumbuhan,れおぬち,ー,reonuchi,reonuchi_id,reonuchi,noun,ー,generated,れおぬちがあります。,There is reonuchi.,Ada reonuchi_id.
alat,ゆとぬへこ,ー,yutonuheko,yutonuheko_id,yutonuheko,noun,ー,generated,ゆとぬへこがあります。,There is yutonuheko.,Ada yutonuheko_id.
cuaca,ほなくせ,ー,honakuse,honakuse_id,honakuse,noun,ー,generated,ほなくせがあります。,There is honakuse.,Ada honakuse_id.
waktu,かたる,ー,kataru,kata_id,kata,verb,katarmasu,generated,かたるをします。,I kata.,Saya kata_id.
