kategori,hiragana,katakana,romaji,arti,tipe,catatan
"frase,verbphrase,variasi,variasi,variasi",でんしゃをする（れい22753）（れい22836）（れい27675）,,densha o suru-22753-22836-27675,melakukan kereta (var-22753) (var-22836) (var-27675),phrase,auto-pad
"kata benda,benda,pertanyaan,variasi,variasi,variasi",だいどころはどこですか（れい20961）（れい21983）（れい28715）,,daidokoro wa doko desu ka-20961-21983-28715,Di mana dapur? (var-20961) (var-21983) (var-28715),question,auto-pad
"frase,verbphrase,variasi",あたまをきく（れい22049）,,atama o kiku-22049,mendengar kepala (var-22049),phrase,auto-pad
"partikel,grammar,variasi,variasi,variasi",は（れい20156）（れい20604）（れい21656）,,wa-20156-20604-21656,partikel topik (var-20156) (var-20604) (var-21656),particle,auto-pad
"frase,verbphrase,variasi,variasi,variasi",みずをみます（れい20821）（れい23390）（れい25459）,,mizu o mimasu-20821-23390-25459,melihat (sopan) air (var-20821) (var-23390) (var-25459),phrase,auto-pad
"frase,verbphrase,variasi",ねこをあます（れい20500）,,neko o arimasu-20500,ada (benda) (sopan) kucing (var-20500),phrase,auto-pad
"frase,verbphrase,variasi,variasi",おねえさんをかく（れい23241）（れい25517）,,oneesan o kaku-23241-25517,menulis kakak perempuan (sopan) (var-23241) (var-25517),phrase,auto-pad
"kata benda,benda,pertanyaan,variasi",あたまはどこですか（れい20871）,,atama wa doko desu ka-20871,Di mana kepala? (var-20871),question,auto-pad
"frase,verbphrase,variasi",くるまをすます（れい20046）,,kuruma o shimasu-20046,melakukan (sopan) mobil (var-20046),phrase,auto-pad
"frase,verbphrase,variasi,variasi",パンをはなす（れい24532）（れい26443）,,pan o hanasu-24532-26443,berbicara roti (var-24532) (var-26443),phrase,auto-pad
"frase,verbphrase,variasi",おとうさんをはなすます（れい20389）,,otousan o hanasimasu-20389,berbicara (sopan) ayah (sopan) (var-20389),phrase,auto-pad
"frase,verbphrase,variasi",へやをよむ（れい23041）,,heya o yomu-23041,membaca kamar (var-23041),phrase,auto-pad
"frase,verbphrase,variasi,variasi",おとうさんをいく（れい20505）（れい25089）,,otousan o iku-20505-25089,pergi ayah (sopan) (var-20505) (var-25089),phrase,auto-pad
"kata benda,benda,komposit,variasi,variasi,variasi",だいどころのいす（れい20344）（れい27078）（れい27965）,,daidokoro no isu-20344-27078-27965,dapur dari kursi (var-20344) (var-27078) (var-27965),compound,auto-pad
"frase,verbphrase,variasi,variasi,variasi",あたまをたべる（れい20702）（れい23260）（れい26234）,,atama o taberu-20702-23260-26234,makan kepala (var-20702) (var-23260) (var-26234),phrase,auto-pad
"frase,verbphrase,variasi",おねえさんをのむます（れい24788）,,oneesan o nomimasu-24788,minum (sopan) kakak perempuan (sopan) (var-24788),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",パンをおきる（れい20085）（れい21223）（れい21399）,,pan o okiru-20085-21223-21399,bangun roti (var-20085) (var-21223) (var-21399),phrase,auto-pad
"kata benda,benda,frase,like,variasi,variasi",いぬがすきです（れい20235）（れい22383）,,inu ga suki desu-20235-22383,suka anjing (var-20235) (var-22383),phrase,auto-pad
"frase,verbphrase,variasi,variasi",えいがをねます（れい20708）（れい21313）,,eiga o nemasu-20708-21313,tidur (sopan) film (var-20708) (var-21313),phrase,auto-pad
"frase,verbphrase,variasi,variasi",いぬをおきます（れい21330）（れい22531）,,inu o okimasu-21330-22531,bangun (sopan) anjing (var-21330) (var-22531),phrase,auto-pad
"frase,verbphrase,variasi,variasi",コーヒーをする（れい20075）（れい23572）,,koohii o suru-20075-23572,melakukan kopi (var-20075) (var-23572),phrase,auto-pad
"kata benda,benda,frase,like,variasi",おんがくがすきです（れい20161）,,ongaku ga suki desu-20161,suka musik (var-20161),phrase,auto-pad
"kata benda,benda,komposit,variasi,variasi",おんがくのみず（れい25771）（れい26998）,,ongaku no mizu-25771-26998,musik dari air (var-25771) (var-26998),compound,auto-pad
"kata benda,benda,pertanyaan,variasi,variasi,variasi",おんがくはどこですか（れい20754）（れい24360）（れい28371）,,ongaku wa doko desu ka-20754-24360-28371,Di mana musik? (var-20754) (var-24360) (var-28371),question,auto-pad
"frase,verbphrase,variasi,variasi",あしをのむます（れい20068）（れい20092）,,ashi o nomimasu-20068-20092,minum (sopan) kaki (var-20068) (var-20092),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",いぬをきくます（れい20850）（れい25515）（れい27663）,,inu o kikimasu-20850-25515-27663,mendengar (sopan) anjing (var-20850) (var-25515) (var-27663),phrase,auto-pad
"frase,verbphrase",くるまをはなすます,,kuruma o hanasimasu,berbicara (sopan) mobil,phrase,
"frase,verbphrase,variasi,variasi,variasi",あしをくます（れい20282）（れい21158）（れい22247）,,ashi o kimasu-20282-21158-22247,datang (sopan) kaki (var-20282) (var-21158) (var-22247),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",でんしゃをいる（れい20341）（れい21141）（れい22314）,,densha o iru-20341-21141-22314,ada (makhluk hidup) kereta (var-20341) (var-21141) (var-22314),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",いもうとをおきる（れい20545）（れい21166）（れい22136）,,imouto o okiru-20545-21166-22136,bangun adik perempuan (var-20545) (var-21166) (var-22136),phrase,auto-pad
"kata benda,benda,frase,do",じてんしゃをします,,jitensha o shimasu,melakukan sepeda,phrase,
"frase,verbphrase,variasi,variasi,variasi",つくえをいます（れい23148）（れい23452）（れい27730）,,tsukue o imasu-23148-23452-27730,ada (makhluk hidup) (sopan) meja (var-23148) (var-23452) (var-27730),phrase,auto-pad
"frase,verbphrase,variasi",ちちをたべます（れい25043）,,chichi o tabemasu-25043,makan (sopan) ayah (saya) (var-25043),phrase,auto-pad
"kata benda,benda,frase,like,variasi,variasi,variasi,variasi,variasi",つくえがすきです（れい20386）（れい21231）（れい21645）（れい23804）（れい28465）,,tsukue ga suki desu-20386-21231-21645-23804-28465,suka meja (var-20386) (var-21231) (var-21645) (var-23804) (var-28465),phrase,auto-pad
"frase,verbphrase,variasi,variasi",ごはんをみる（れい25767）（れい28287）,,gohan o miru-25767-28287,melihat nasi (var-25767) (var-28287),phrase,auto-pad
"frase,verbphrase,variasi",ちちをきく（れい23816）,,chichi o kiku-23816,mendengar ayah (saya) (var-23816),phrase,auto-pad
"frase,verbphrase,variasi",いすをかくます（れい21317）,,isu o kakimasu-21317,menulis (sopan) kursi (var-21317),phrase,auto-pad
"kata benda,benda,komposit,variasi,variasi,variasi",みずのいぬ（れい20317）（れい20418）（れい22625）,,mizu no inu-20317-20418-22625,air dari anjing (var-20317) (var-20418) (var-22625),compound,auto-pad
"frase,verbphrase,variasi,variasi",パンをかくます（れい22940）（れい24799）,,pan o kakimasu-22940-24799,menulis (sopan) roti (var-22940) (var-24799),phrase,auto-pad
"frase,verbphrase,variasi,variasi",みずをいくます（れい25076）（れい27753）,,mizu o ikimasu-25076-27753,pergi (sopan) air (var-25076) (var-27753),phrase,auto-pad
"frase,verbphrase,variasi",ほんをねる（れい21337）,,hon o neru-21337,tidur buku (var-21337),phrase,auto-pad
"frase,verbphrase,variasi",ねこをあます（れい20132）,,neko o arimasu-20132,ada (benda) (sopan) kucing (var-20132),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",みずをくる（れい20653）（れい20935）（れい21040）（れい26366）,,mizu o kuru-20653-20935-21040-26366,datang air (var-20653) (var-20935) (var-21040) (var-26366),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",あたまをきく（れい20433）（れい21288）（れい21637）,,atama o kiku-20433-21288-21637,mendengar kepala (var-20433) (var-21288) (var-21637),phrase,auto-pad
"kata benda,benda,variasi,variasi,variasi",パン（れい20206）（れい21261）（れい27370）,パン,pan-20206-21261-27370,roti (var-20206) (var-21261) (var-27370),noun,auto-pad
"keluarga,variasi",いもうと（れい20782）,,imouto-20782,adik perempuan (var-20782),noun,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",ははをたべます（れい20358）（れい20863）（れい21202）（れい21273）,,haha o tabemasu-20358-20863-21202-21273,makan (sopan) ibu (saya) (var-20358) (var-20863) (var-21202) (var-21273),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",スマホをくる（れい20142）（れい21463）（れい21560）（れい24965）,,sumaho o kuru-20142-21463-21560-24965,datang smartphone (var-20142) (var-21463) (var-21560) (var-24965),phrase,auto-pad
"frase,verbphrase,variasi,variasi",ねこをくる（れい21299）（れい23313）,,neko o kuru-21299-23313,datang kucing (var-21299) (var-23313),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",ははをおきます（れい22254）（れい25370）（れい28260）,,haha o okimasu-22254-25370-28260,bangun (sopan) ibu (saya) (var-22254) (var-25370) (var-28260),phrase,auto-pad
"kata kerja,verb,variasi",おきます（れい25164）,,okimasu-25164,bangun (sopan) (var-25164),verb (masu),auto-pad
"frase,verbphrase,variasi,variasi",ほんをよむます（れい20062）（れい23080）,,hon o yomimasu-20062-23080,membaca (sopan) buku (var-20062) (var-23080),phrase,auto-pad
"kata benda,benda,komposit,variasi,variasi,variasi",スマホのごはん（れい21001）（れい22120）（れい23270）,,sumaho no gohan-21001-22120-23270,smartphone dari nasi (var-21001) (var-22120) (var-23270),compound,auto-pad
"kata benda,benda,variasi,variasi,variasi",コーヒー（れい20162）（れい20529）（れい24725）,コーヒー,koohii-20162-20529-24725,kopi (var-20162) (var-20529) (var-24725),noun,auto-pad
"keluarga,frase,do,variasi,variasi,variasi",いもうとをします（れい20380）（れい24988）（れい27158）,,imouto o shimasu-20380-24988-27158,melakukan adik perempuan (var-20380) (var-24988) (var-27158),phrase,auto-pad
"frase,verbphrase,variasi,variasi",いもうとをねる（れい23674）（れい24053）,,imouto o neru-23674-24053,tidur adik perempuan (var-23674) (var-24053),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",てをねます（れい22111）（れい22229）（れい26888）,,te o nemasu-22111-22229-26888,tidur (sopan) tangan (var-22111) (var-22229) (var-26888),phrase,auto-pad
"kata kerja,verb,variasi",たべる（れい27345）,,taberu-27345,makan (var-27345),verb (dictionary),auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",ははをねる（れい20359）（れい23429）（れい23490）（れい25528）（れい28787）,,haha o neru-20359-23429-23490-25528-28787,tidur ibu (saya) (var-20359) (var-23429) (var-23490) (var-25528) (var-28787),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",がっこうをきく（れい20019）（れい20631）（れい23220）（れい24352）,,gakkou o kiku-20019-20631-23220-24352,mendengar sekolah (var-20019) (var-20631) (var-23220) (var-24352),phrase,auto-pad
"kata kerja,verb,variasi,variasi,variasi",かくます（れい22798）（れい24220）（れい25100）,,kakimasu-22798-24220-25100,menulis (sopan) (var-22798) (var-24220) (var-25100),verb (masu),auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi,variasi",ははをある（れい20189）（れい20191）（れい22342）（れい23959）（れい25706）（れい27693）,,haha o aru-20189-20191-22342-23959-25706-27693,ada (benda) ibu (saya) (var-20189) (var-20191) (var-22342) (var-23959) (var-25706) (var-27693),phrase,auto-pad
"partikel,grammar,variasi,variasi,variasi,variasi,variasi",は（れい20156）（れい20604）（れい23571）（れい24838）（れい26210）,,wa-20156-20604-23571-24838-26210,partikel topik (var-20156) (var-20604) (var-23571) (var-24838) (var-26210),particle,auto-pad
"frase,verbphrase,variasi,variasi",てをする（れい20626）（れい23057）,,te o suru-20626-23057,melakukan tangan (var-20626) (var-23057),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",いもうとをかく（れい22953）（れい24041）（れい25167）,,imouto o kaku-22953-24041-25167,menulis adik perempuan (var-22953) (var-24041) (var-25167),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",ねこをきく（れい20692）（れい21281）（れい22303）,,neko o kiku-20692-21281-22303,mendengar kucing (var-20692) (var-21281) (var-22303),phrase,auto-pad
"kata benda,benda,komposit,variasi",つくえのバス（れい22370）,,tsukue no basu-22370,meja dari bus (var-22370),compound,auto-pad
"frase,verbphrase,variasi",いぬをのむ（れい23009）,,inu o nomu-23009,minum anjing (var-23009),phrase,auto-pad
"frase,verbphrase,variasi,variasi",ははをたべます（れい20211）（れい27940）,,haha o tabemasu-20211-27940,makan (sopan) ibu (saya) (var-20211) (var-27940),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",おんがくをきく（れい20423）（れい27089）（れい27361）,,ongaku o kiku-20423-27089-27361,mendengar musik (var-20423) (var-27089) (var-27361),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",てをみます（れい20630）（れい21106）（れい22249）（れい25686）,,te o mimasu-20630-21106-22249-25686,melihat (sopan) tangan (var-20630) (var-21106) (var-22249) (var-25686),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",でんしゃをある（れい20297）（れい21435）（れい22428）（れい25449）（れい27905）,,densha o aru-20297-21435-22428-25449-27905,ada (benda) kereta (var-20297) (var-21435) (var-22428) (var-25449) (var-27905),phrase,auto-pad
"kata benda,benda,komposit,variasi,variasi,variasi,variasi",てのちち（れい20131）（れい20597）（れい25380）（れい27218）,,te no chichi-20131-20597-25380-27218,tangan dari ayah (saya) (var-20131) (var-20597) (var-25380) (var-27218),compound,auto-pad
"kata benda,benda,komposit,variasi,variasi,variasi,variasi,variasi",てのちち（れい20131）（れい20597）（れい21901）（れい22105）（れい28229）,,te no chichi-20131-20597-21901-22105-28229,tangan dari ayah (saya) (var-20131) (var-20597) (var-21901) (var-22105) (var-28229),compound,auto-pad
"frase,verbphrase,variasi",いもうとをよむます（れい24984）,,imouto o yomimasu-24984,membaca (sopan) adik perempuan (var-24984),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",いもうとをみる（れい21226）（れい22462）（れい25811）,,imouto o miru-21226-22462-25811,melihat adik perempuan (var-21226) (var-22462) (var-25811),phrase,auto-pad
"expression,daily,variasi",ごめんなさい（れい22679）,,gomen nasai-22679,maaf (var-22679),expression,auto-pad
"frase,verbphrase,variasi,variasi,variasi",でんしゃをのむます（れい20627）（れい23748）（れい25328）,,densha o nomimasu-20627-23748-25328,minum (sopan) kereta (var-20627) (var-23748) (var-25328),phrase,auto-pad
"frase,verbphrase,variasi,variasi",バスをいる（れい20106）（れい21578）,,basu o iru-20106-21578,ada (makhluk hidup) bus (var-20106) (var-21578),phrase,auto-pad
"kata sifat,adjective,variasi",あたらしい（れい21657）,,atarashii-21657,baru (var-21657),adjective,auto-pad
"kata benda,benda,komposit",でんしゃのじてんしゃ,,densha no jitensha,kereta dari sepeda,compound,
"frase,verbphrase,variasi,variasi",コーヒーをねます（れい20882）（れい27205）,,koohii o nemasu-20882-27205,tidur (sopan) kopi (var-20882) (var-27205),phrase,auto-pad
"frase,verbphrase",あたまをのむます,,atama o nomimasu,minum (sopan) kepala,phrase,
"frase,verbphrase,variasi,variasi,variasi,variasi",がっこうをする（れい20261）（れい22808）（れい23179）（れい24102）,,gakkou o suru-20261-22808-23179-24102,melakukan sekolah (var-20261) (var-22808) (var-23179) (var-24102),phrase,auto-pad
"frase,verbphrase,variasi",いすをよむます（れい23258）,,isu o yomimasu-23258,membaca (sopan) kursi (var-23258),phrase,auto-pad
"kata benda,benda,frase,do,variasi,variasi,variasi",つくえをします（れい20683）（れい21741）（れい22456）,,tsukue o shimasu-20683-21741-22456,melakukan meja (var-20683) (var-21741) (var-22456),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",えいがをねます（れい20708）（れい21313）（れい21910）（れい23868）,,eiga o nemasu-20708-21313-21910-23868,tidur (sopan) film (var-20708) (var-21313) (var-21910) (var-23868),phrase,auto-pad
"frase,verbphrase,variasi,variasi",でんしゃをはなすます（れい20873）（れい21235）,,densha o hanasimasu-20873-21235,berbicara (sopan) kereta (var-20873) (var-21235),phrase,auto-pad
"kata benda,benda,komposit,variasi,variasi",てのちち（れい20131）（れい20597）,,te no chichi-20131-20597,tangan dari ayah (saya) (var-20131) (var-20597),compound,auto-pad
"frase,verbphrase,variasi,variasi,variasi",だいどころをいくます（れい20149）（れい21711）（れい25281）,,daidokoro o ikimasu-20149-21711-25281,pergi (sopan) dapur (var-20149) (var-21711) (var-25281),phrase,auto-pad
"kata benda,benda,komposit,variasi",でんしゃのじてんしゃ（れい23958）,,densha no jitensha-23958,kereta dari sepeda (var-23958),compound,auto-pad
"frase,verbphrase,variasi",じてんしゃをたべる（れい21704）,,jitensha o taberu-21704,makan sepeda (var-21704),phrase,auto-pad
"frase,verbphrase,variasi,variasi",おねえさんをある（れい23064）（れい25914）,,oneesan o aru-23064-25914,ada (benda) kakak perempuan (sopan) (var-23064) (var-25914),phrase,auto-pad
"frase,verbphrase,variasi",がっこうをおきます（れい20017）,,gakkou o okimasu-20017,bangun (sopan) sekolah (var-20017),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",ちちをあます（れい20824）（れい22362）（れい26628）,,chichi o arimasu-20824-22362-26628,ada (benda) (sopan) ayah (saya) (var-20824) (var-22362) (var-26628),phrase,auto-pad
"kata benda,benda,pertanyaan,variasi",ねこはどこですか（れい23582）,,neko wa doko desu ka-23582,Di mana kucing? (var-23582),question,auto-pad
"frase,verbphrase,variasi,variasi,variasi",いもうとをいる（れい20557）（れい25780）（れい26527）,,imouto o iru-20557-25780-26527,ada (makhluk hidup) adik perempuan (var-20557) (var-25780) (var-26527),phrase,auto-pad
"frase,verbphrase,variasi",えいがをきくます（れい24717）,,eiga o kikimasu-24717,mendengar (sopan) film (var-24717),phrase,auto-pad
"frase,verbphrase,variasi,variasi",バスをかく（れい20868）（れい23277）,,basu o kaku-20868-23277,menulis bus (var-20868) (var-23277),phrase,auto-pad
"frase,verbphrase,variasi,variasi",コーヒーをする（れい21383）（れい25538）,,koohii o suru-21383-25538,melakukan kopi (var-21383) (var-25538),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",コーヒーをする（れい23720）（れい25640）（れい27442）,,koohii o suru-23720-25640-27442,melakukan kopi (var-23720) (var-25640) (var-27442),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",くるまをねる（れい21595）（れい22121）（れい24986）,,kuruma o neru-21595-22121-24986,tidur mobil (var-21595) (var-22121) (var-24986),phrase,auto-pad
"frase,verbphrase,variasi",でんしゃをきく（れい20136）,,densha o kiku-20136,mendengar kereta (var-20136),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",がっこうをよむ（れい20579）（れい21154）（れい25883）（れい28521）,,gakkou o yomu-20579-21154-25883-28521,membaca sekolah (var-20579) (var-21154) (var-25883) (var-28521),phrase,auto-pad
"frase,verbphrase,variasi,variasi",ははをいます（れい26613）（れい27195）,,haha o imasu-26613-27195,ada (makhluk hidup) (sopan) ibu (saya) (var-26613) (var-27195),phrase,auto-pad
salam,ありがとう,,arigatou,terima kasih (casual),expression,
"frase,verbphrase,variasi,variasi,variasi,variasi",あたまをある（れい20448）（れい21012）（れい21184）（れい23104）,,atama o aru-20448-21012-21184-23104,ada (benda) kepala (var-20448) (var-21012) (var-21184) (var-23104),phrase,auto-pad
"frase,verbphrase,variasi,variasi",じてんしゃをきく（れい21162）（れい27923）,,jitensha o kiku-21162-27923,mendengar sepeda (var-21162) (var-27923),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",だいどころをよむます（れい20680）（れい21522）（れい21708）（れい22222）（れい22503）,,daidokoro o yomimasu-20680-21522-21708-22222-22503,membaca (sopan) dapur (var-20680) (var-21522) (var-21708) (var-22222) (var-22503),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",あたまをたべます（れい20031）（れい22962）（れい24728）,,atama o tabemasu-20031-22962-24728,makan (sopan) kepala (var-20031) (var-22962) (var-24728),phrase,auto-pad
"frase,verbphrase,variasi,variasi",がっこうをのむます（れい20184）（れい23651）,,gakkou o nomimasu-20184-23651,minum (sopan) sekolah (var-20184) (var-23651),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",おかあさんをいく（れい20783）（れい21301）（れい28196）,,okaasan o iku-20783-21301-28196,pergi ibu (sopan) (var-20783) (var-21301) (var-28196),phrase,auto-pad
"frase,verbphrase,variasi,variasi",へやをねます（れい21390）（れい22349）,,heya o nemasu-21390-22349,tidur (sopan) kamar (var-21390) (var-22349),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",あたまをおきます（れい21506）（れい24109）（れい24953）（れい26723）,,atama o okimasu-21506-24109-24953-26723,bangun (sopan) kepala (var-21506) (var-24109) (var-24953) (var-26723),phrase,auto-pad
"frase,verbphrase,variasi,variasi",パンをくます（れい20368）（れい20870）,,pan o kimasu-20368-20870,datang (sopan) roti (var-20368) (var-20870),phrase,auto-pad
"frase,verbphrase",スマホをいます,,sumaho o imasu,ada (makhluk hidup) (sopan) smartphone,phrase,
"frase,verbphrase",ねこをきく,,neko o kiku,mendengar kucing,phrase,
"frase,verbphrase,variasi,variasi,variasi",えいがをのむます（れい20123）（れい21920）（れい23934）,,eiga o nomimasu-20123-21920-23934,minum (sopan) film (var-20123) (var-21920) (var-23934),phrase,auto-pad
"frase,verbphrase,variasi",おねえさんをきくます（れい23403）,,oneesan o kikimasu-23403,mendengar (sopan) kakak perempuan (sopan) (var-23403),phrase,auto-pad
"frase,verbphrase,variasi",でんしゃをくます（れい20999）,,densha o kimasu-20999,datang (sopan) kereta (var-20999),phrase,auto-pad
"frase,verbphrase,variasi,variasi",てをおきます（れい22569）（れい27540）,,te o okimasu-22569-27540,bangun (sopan) tangan (var-22569) (var-27540),phrase,auto-pad
"partikel,grammar,variasi",に（れい22213）,,ni-22213,partikel arah/waktu (var-22213),particle,auto-pad
"frase,verbphrase,variasi,variasi,variasi",だいどころをよむます（れい20680）（れい21500）（れい24197）,,daidokoro o yomimasu-20680-21500-24197,membaca (sopan) dapur (var-20680) (var-21500) (var-24197),phrase,auto-pad
"frase,verbphrase,variasi",いぬをよむ（れい22630）,,inu o yomu-22630,membaca anjing (var-22630),phrase,auto-pad
"frase,verbphrase",スマホをいくます,,sumaho o ikimasu,pergi (sopan) smartphone,phrase,
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",あたまをおきます（れい20127）（れい20513）（れい21321）（れい21872）（れい27820）,,atama o okimasu-20127-20513-21321-21872-27820,bangun (sopan) kepala (var-20127) (var-20513) (var-21321) (var-21872) (var-27820),phrase,auto-pad
"frase,verbphrase,variasi",じてんしゃをおきる（れい25644）,,jitensha o okiru-25644,bangun sepeda (var-25644),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",じてんしゃをよむ（れい20823）（れい24458）（れい27585）（れい27729）,,jitensha o yomu-20823-24458-27585-27729,membaca sepeda (var-20823) (var-24458) (var-27585) (var-27729),phrase,auto-pad
"kata benda,benda,frase,like,variasi,variasi,variasi",パンがすきです（れい20591）（れい23353）（れい27159）,,pan ga suki desu-20591-23353-27159,suka roti (var-20591) (var-23353) (var-27159),phrase,auto-pad
"kata benda,benda,komposit,variasi,variasi,variasi",あしのおとうさん（れい23134）（れい24640）（れい26971）,,ashi no otousan-23134-24640-26971,kaki dari ayah (sopan) (var-23134) (var-24640) (var-26971),compound,auto-pad
"frase,verbphrase,variasi",バスをのむ（れい20988）,,basu o nomu-20988,minum bus (var-20988),phrase,auto-pad
"frase,verbphrase,variasi",じてんしゃをかくます（れい20318）,,jitensha o kakimasu-20318,menulis (sopan) sepeda (var-20318),phrase,auto-pad
"kata kerja,verb,variasi",くます（れい24710）,,kimasu-24710,datang (sopan) (var-24710),verb (masu),auto-pad
"frase,verbphrase,variasi",ははをきくます（れい21871）,,haha o kikimasu-21871,mendengar (sopan) ibu (saya) (var-21871),phrase,auto-pad
"frase,verbphrase,variasi",つくえをのむ（れい20336）,,tsukue o nomu-20336,minum meja (var-20336),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",あたまをある（れい20448）（れい21012）（れい27454）,,atama o aru-20448-21012-27454,ada (benda) kepala (var-20448) (var-21012) (var-27454),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",いすをくる（れい21986）（れい23042）（れい23821）（れい25652）（れい25869）,,isu o kuru-21986-23042-23821-25652-25869,datang kursi (var-21986) (var-23042) (var-23821) (var-25652) (var-25869),phrase,auto-pad
"frase,verbphrase,variasi,variasi",つくえをいくます（れい21322）（れい22401）,,tsukue o ikimasu-21322-22401,pergi (sopan) meja (var-21322) (var-22401),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",くるまをする（れい21367）（れい24179）（れい24237）,,kuruma o suru-21367-24179-24237,melakukan mobil (var-21367) (var-24179) (var-24237),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",てをおきる（れい20324）（れい21253）（れい21850）（れい23037）,,te o okiru-20324-21253-21850-23037,bangun tangan (var-20324) (var-21253) (var-21850) (var-23037),phrase,auto-pad
"frase,verbphrase,variasi",おんがくをある（れい24324）,,ongaku o aru-24324,ada (benda) musik (var-24324),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",ははをある（れい20234）（れい20311）（れい20430）,,haha o aru-20234-20311-20430,ada (benda) ibu (saya) (var-20234) (var-20311) (var-20430),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",あたまをはなす（れい21950）（れい26784）（れい26935）（れい27557）,,atama o hanasu-21950-26784-26935-27557,berbicara kepala (var-21950) (var-26784) (var-26935) (var-27557),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",ほんをおきます（れい20807）（れい21008）（れい21464）（れい21730）,,hon o okimasu-20807-21008-21464-21730,bangun (sopan) buku (var-20807) (var-21008) (var-21464) (var-21730),phrase,auto-pad
"frase,verbphrase,variasi",つくえをおきます（れい21945）,,tsukue o okimasu-21945,bangun (sopan) meja (var-21945),phrase,auto-pad
"kata benda,benda,frase,like,variasi,variasi,variasi,variasi",くるまがすきです（れい22524）（れい23099）（れい24019）（れい24436）,,kuruma ga suki desu-22524-23099-24019-24436,suka mobil (var-22524) (var-23099) (var-24019) (var-24436),phrase,auto-pad
"frase,verbphrase,variasi,variasi",いもうとをいく（れい20315）（れい21897）,,imouto o iku-20315-21897,pergi adik perempuan (var-20315) (var-21897),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",あしをねます（れい20427）（れい23841）（れい24385）（れい24849）,,ashi o nemasu-20427-23841-24385-24849,tidur (sopan) kaki (var-20427) (var-23841) (var-24385) (var-24849),phrase,auto-pad
"frase,verbphrase,variasi,variasi",あしをある（れい20099）（れい24615）,,ashi o aru-20099-24615,ada (benda) kaki (var-20099) (var-24615),phrase,auto-pad
"frase,verbphrase",くるまをたべる,,kuruma o taberu,makan mobil,phrase,
"frase,verbphrase,variasi,variasi,variasi,variasi",がっこうをおきます（れい20980）（れい21221）（れい21400）（れい26350）,,gakkou o okimasu-20980-21221-21400-26350,bangun (sopan) sekolah (var-20980) (var-21221) (var-21400) (var-26350),phrase,auto-pad
"frase,verbphrase,variasi,variasi",おねえさんをいくます（れい20486）（れい28318）,,oneesan o ikimasu-20486-28318,pergi (sopan) kakak perempuan (sopan) (var-20486) (var-28318),phrase,auto-pad
"kata benda,benda,pertanyaan,variasi,variasi,variasi",あしはどこですか（れい20498）（れい22583）（れい25993）,,ashi wa doko desu ka-20498-22583-25993,Di mana kaki? (var-20498) (var-22583) (var-25993),question,auto-pad
"frase,verbphrase,variasi",でんしゃをある（れい20297）,,densha o aru-20297,ada (benda) kereta (var-20297),phrase,auto-pad
