kategori,jepang,romaji,arti,tipe,catatan
frase,おんがくをします（れい8573）（れい6491）（れい7073）,ongaku o shimasu-8573-6491-7073,Melakukan musik (var-8573) (var-6491) (var-7073),frase,auto-var
angka,に（れい3504）（れい7937）（れい4390）,ni-3504-7937-4390,dua (var-3504) (var-7937) (var-4390),angka,auto-var
frase,おんがくをします（れい3803）（れい5905）（れい7991）（れい2166）,ongaku o shimasu-3803-5905-7991-2166,Melakukan musik (var-3803) (var-5905) (var-7991) (var-2166),frase,auto-var
hobi,えいが（れい4582）（れい9785）（れい5315）（れい6352）（れい7437）（れい1528）,eiga-4582-9785-5315-6352-7437-1528,film (var-4582) (var-9785) (var-5315) (var-6352) (var-7437) (var-1528),kata benda,auto-var
sekolah,せんせい（れい5012）（れい8359）（れい4185）（れい6096）,sensei-5012-8359-4185-6096,guru (var-5012) (var-8359) (var-4185) (var-6096),kata benda,auto-var
keluarga,おとうさん（れい1488）（れい6635）（れい8461）（れい3267）（れい4485）（れい6225）（れい6535）,otousan-1488-6635-8461-3267-4485-6225-6535,ayah (sopan) (var-1488) (var-6635) (var-8461) (var-3267) (var-4485) (var-6225) (var-6535),kata benda,auto-var
frase,いえにいきます（れい1319）（れい3979）（れい3444）（れい2350）,ie ni ikimasu-1319-3979-3444-2350,Pergi ke rumah (var-1319) (var-3979) (var-3444) (var-2350),frase,auto-var
frase,ほんにいきます（れい3664）（れい9689）（れい4923）（れい2588）（れい4006）（れい7209）（れい1727）（れい8244）（れい7532）（れい3174）,hon ni ikimasu-3664-9689-4923-2588-4006-7209-1727-8244-7532-3174,Pergi ke buku (var-3664) (var-9689) (var-4923) (var-2588) (var-4006) (var-7209) (var-1727) (var-8244) (var-7532) (var-3174),frase,auto-var
keluarga,おとうさん（れい7284）（れい7315）（れい5581）,otousan-7284-7315-5581,ayah (sopan) (var-7284) (var-7315) (var-5581),kata benda,auto-var
angka,に（れい3504）（れい3103）（れい3705）（れい7678）（れい7622）（れい8988）,ni-3504-3103-3705-7678-7622-8988,dua (var-3504) (var-3103) (var-3705) (var-7678) (var-7622) (var-8988),angka,auto-var
frase,たべますがすきです（れい2139）（れい7227）,tabemasu ga suki desu-2139-7227,Saya suka makan (sopan) (var-2139) (var-7227),frase,auto-var
sekolah,せんせい（れい3697）（れい7930）（れい7079）,sensei-3697-7930-7079,guru (var-3697) (var-7930) (var-7079),kata benda,auto-var
keluarga,おとうさん（れい1488）（れい6635）（れい8461）（れい3267）（れい4485）（れい7705）（れい1813）,otousan-1488-6635-8461-3267-4485-7705-1813,ayah (sopan) (var-1488) (var-6635) (var-8461) (var-3267) (var-4485) (var-7705) (var-1813),kata benda,auto-var
keluarga,おとうさん（れい1488）（れい3615）（れい2519）（れい9348）（れい5616）,otousan-1488-3615-2519-9348-5616,ayah (sopan) (var-1488) (var-3615) (var-2519) (var-9348) (var-5616),kata benda,auto-var
keluarga,ちち（れい6514）（れい3045）,chichi-6514-3045,ayah (saya) (var-6514) (var-3045),kata benda,auto-var
frase,いちにいきます（れい3639）,ichi ni ikimasu-3639,Pergi ke satu (var-3639),frase,auto-var
hobi,えいが（れい4582）（れい1711）（れい7201）（れい7141）,eiga-4582-1711-7201-7141,film (var-4582) (var-1711) (var-7201) (var-7141),kata benda,auto-var
frase,ほんにいきます（れい4681）（れい8632）（れい1464）,hon ni ikimasu-4681-8632-1464,Pergi ke buku (var-4681) (var-8632) (var-1464),frase,auto-var
frase,せんせいをみます（れい4657）（れい5889）（れい1441）（れい1853）,sensei o mimasu-4657-5889-1441-1853,Menonton guru (var-4657) (var-5889) (var-1441) (var-1853),frase,auto-var
kata sifat,たのしい（れい2424）（れい1520）（れい5552）（れい2584）（れい9201）（れい8962）（れい8787）（れい9004）（れい1969）,tanoshii-2424-1520-5552-2584-9201-8962-8787-9004-1969,menyenangkan (var-2424) (var-1520) (var-5552) (var-2584) (var-9201) (var-8962) (var-8787) (var-9004) (var-1969),kata sifat,auto-var
frase,えいががすきです（れい6794）（れい8541）（れい3253）（れい6804）（れい3474）（れい2168）（れい4110）,eiga ga suki desu-6794-8541-3253-6804-3474-2168-4110,Saya suka film (var-6794) (var-8541) (var-3253) (var-6804) (var-3474) (var-2168) (var-4110),frase,auto-var
frase,せんせいをみます（れい1409）（れい5422）（れい2084）（れい2403）（れい3754）（れい8834）（れい5314）,sensei o mimasu-1409-5422-2084-2403-3754-8834-5314,Menonton guru (var-1409) (var-5422) (var-2084) (var-2403) (var-3754) (var-8834) (var-5314),frase,auto-var
kata sifat,たのしい（れい2424）（れい1520）（れい5552）（れい2584）（れい4593）（れい4295）（れい7528）（れい3588）（れい7786）,tanoshii-2424-1520-5552-2584-4593-4295-7528-3588-7786,menyenangkan (var-2424) (var-1520) (var-5552) (var-2584) (var-4593) (var-4295) (var-7528) (var-3588) (var-7786),kata sifat,auto-var
hobi,えいが（れい7118）（れい4770）（れい4872）（れい2127）（れい5002）（れい4595）（れい5772）（れい1642）,eiga-7118-4770-4872-2127-5002-4595-5772-1642,film (var-7118) (var-4770) (var-4872) (var-2127) (var-5002) (var-4595) (var-5772) (var-1642),kata benda,auto-var
frase,えいががすきです（れい7543）（れい8199）（れい7439）（れい5508）,eiga ga suki desu-7543-8199-7439-5508,Saya suka film (var-7543) (var-8199) (var-7439) (var-5508),frase,auto-var
frase,せんせいをみます（れい8428）（れい1998）（れい8508）（れい9548）（れい8484）（れい9719）（れい1567）,sensei o mimasu-8428-1998-8508-9548-8484-9719-1567,Menonton guru (var-8428) (var-1998) (var-8508) (var-9548) (var-8484) (var-9719) (var-1567),frase,auto-var
angka,に（れい3927）（れい8633）（れい5471）（れい5500）（れい4695）,ni-3927-8633-5471-5500-4695,dua (var-3927) (var-8633) (var-5471) (var-5500) (var-4695),angka,auto-var
frase,たべますがすきです（れい2139）（れい9395）,tabemasu ga suki desu-2139-9395,Saya suka makan (sopan) (var-2139) (var-9395),frase,auto-var
frase,いえにいきます（れい1319）（れい3979）（れい3444）（れい2166）,ie ni ikimasu-1319-3979-3444-2166,Pergi ke rumah (var-1319) (var-3979) (var-3444) (var-2166),frase,auto-var
angka,に（れい7216）（れい4456）（れい2796）（れい1659）（れい1424）（れい9261）（れい7643）（れい5272）,ni-7216-4456-2796-1659-1424-9261-7643-5272,dua (var-7216) (var-4456) (var-2796) (var-1659) (var-1424) (var-9261) (var-7643) (var-5272),angka,auto-var
kata sifat,たのしい（れい2424）（れい3646）（れい7396）（れい3088）（れい2768）（れい3621）（れい8940）,tanoshii-2424-3646-7396-3088-2768-3621-8940,menyenangkan (var-2424) (var-3646) (var-7396) (var-3088) (var-2768) (var-3621) (var-8940),kata sifat,auto-var
keluarga,おとうさん（れい2679）（れい8651）（れい9288）（れい6967）（れい2335）（れい3053）（れい6040）,otousan-2679-8651-9288-6967-2335-3053-6040,ayah (sopan) (var-2679) (var-8651) (var-9288) (var-6967) (var-2335) (var-3053) (var-6040),kata benda,auto-var
keluarga,おとうさん（れい1488）（れい3615）（れい7498）（れい5136）（れい8381）（れい2858）（れい2674）（れい3826）,otousan-1488-3615-7498-5136-8381-2858-2674-3826,ayah (sopan) (var-1488) (var-3615) (var-7498) (var-5136) (var-8381) (var-2858) (var-2674) (var-3826),kata benda,auto-var
frase,せんせいをみます（れい4657）（れい5889）（れい3675）,sensei o mimasu-4657-5889-3675,Menonton guru (var-4657) (var-5889) (var-3675),frase,auto-var
frase,えいががすきです（れい1009）（れい4441）（れい3439）,eiga ga suki desu-1009-4441-3439,Saya suka film (var-1009) (var-4441) (var-3439),frase,auto-var
keluarga,ちち（れい6514）（れい3287）（れい2982）（れい4853）（れい5661）,chichi-6514-3287-2982-4853-5661,ayah (saya) (var-6514) (var-3287) (var-2982) (var-4853) (var-5661),kata benda,auto-var
hobi,えいが（れい4582）（れい1711）（れい3851）（れい2479）（れい2213）,eiga-4582-1711-3851-2479-2213,film (var-4582) (var-1711) (var-3851) (var-2479) (var-2213),kata benda,auto-var
frase,ほんにいきます（れい3664）（れい5304）（れい4467）（れい9872）,hon ni ikimasu-3664-5304-4467-9872,Pergi ke buku (var-3664) (var-5304) (var-4467) (var-9872),frase,auto-var
sekolah,せんせい（れい4792）,sensei-4792,guru (var-4792),kata benda,auto-var
frase,ほんにいきます（れい4681）（れい8886）（れい1722）（れい4770）（れい8242）,hon ni ikimasu-4681-8886-1722-4770-8242,Pergi ke buku (var-4681) (var-8886) (var-1722) (var-4770) (var-8242),frase,auto-var
frase,にをみます（れい6574）（れい4752）（れい2040）（れい8177）（れい3296）（れい9099）（れい7274）（れい1126）,ni o mimasu-6574-4752-2040-8177-3296-9099-7274-1126,Menonton dua (var-6574) (var-4752) (var-2040) (var-8177) (var-3296) (var-9099) (var-7274) (var-1126),frase,auto-var
frase,ほんにいきます（れい3664）（れい9689）（れい4923）（れい2588）（れい4006）（れい7209）,hon ni ikimasu-3664-9689-4923-2588-4006-7209,Pergi ke buku (var-3664) (var-9689) (var-4923) (var-2588) (var-4006) (var-7209),frase,auto-var
frase,たべますがすきです,tabemasu ga suki desu,Saya suka makan (sopan),frase,
frase,いえにいきます（れい7912）（れい7267）（れい8136）（れい2294）,ie ni ikimasu-7912-7267-8136-2294,Pergi ke rumah (var-7912) (var-7267) (var-8136) (var-2294),frase,auto-var
frase,せんせいをみます（れい4657）（れい8260）（れい6617）（れい2070）（れい6933）（れい1788）,sensei o mimasu-4657-8260-6617-2070-6933-1788,Menonton guru (var-4657) (var-8260) (var-6617) (var-2070) (var-6933) (var-1788),frase,auto-var
frase,おんがくをします（れい8573）（れい2290）（れい4470）（れい9280）（れい7751）（れい6753）,ongaku o shimasu-8573-2290-4470-9280-7751-6753,Melakukan musik (var-8573) (var-2290) (var-4470) (var-9280) (var-7751) (var-6753),frase,auto-var
sekolah,がっこう（れい3286）（れい9056）（れい3363）（れい1998）（れい3067）,gakkou-3286-9056-3363-1998-3067,sekolah (var-3286) (var-9056) (var-3363) (var-1998) (var-3067),kata benda,auto-var
keluarga,おとうさん（れい2679）（れい8651）（れい9288）（れい6967）（れい6280）（れい1986）（れい7947）（れい9011）,otousan-2679-8651-9288-6967-6280-1986-7947-9011,ayah (sopan) (var-2679) (var-8651) (var-9288) (var-6967) (var-6280) (var-1986) (var-7947) (var-9011),kata benda,auto-var
frase,せんせいをみます（れい4811）（れい8078）（れい8978）,sensei o mimasu-4811-8078-8978,Menonton guru (var-4811) (var-8078) (var-8978),frase,auto-var
frase,せんせいをみます（れい1409）（れい5272）（れい7180）（れい8147）（れい1212）,sensei o mimasu-1409-5272-7180-8147-1212,Menonton guru (var-1409) (var-5272) (var-7180) (var-8147) (var-1212),frase,auto-var
frase,ほんにいきます（れい3664）（れい9689）（れい4923）（れい2588）（れい4006）（れい7209）（れい1727）（れい8564）（れい7979）,hon ni ikimasu-3664-9689-4923-2588-4006-7209-1727-8564-7979,Pergi ke buku (var-3664) (var-9689) (var-4923) (var-2588) (var-4006) (var-7209) (var-1727) (var-8564) (var-7979),frase,auto-var
frase,えいががすきです（れい6794）（れい9922）,eiga ga suki desu-6794-9922,Saya suka film (var-6794) (var-9922),frase,auto-var
frase,がっこうにいきます（れい5506）（れい9645）（れい5700）（れい1744）（れい6484）,gakkou ni ikimasu-5506-9645-5700-1744-6484,Pergi ke sekolah (var-5506) (var-9645) (var-5700) (var-1744) (var-6484),frase,auto-var
frase,いえにいきます（れい7912）（れい3662）（れい6554）（れい5740）,ie ni ikimasu-7912-3662-6554-5740,Pergi ke rumah (var-7912) (var-3662) (var-6554) (var-5740),frase,auto-var
frase,たのしいをします（れい4611）（れい3060）（れい9701）（れい5844）（れい4519）（れい7745）（れい3967）,tanoshii o shimasu-4611-3060-9701-5844-4519-7745-3967,Melakukan menyenangkan (var-4611) (var-3060) (var-9701) (var-5844) (var-4519) (var-7745) (var-3967),frase,auto-var
keluarga,おとうさん（れい2679）（れい5339）（れい1406）（れい4683）,otousan-2679-5339-1406-4683,ayah (sopan) (var-2679) (var-5339) (var-1406) (var-4683),kata benda,auto-var
sekolah,せんせい（れい5371）（れい8744）（れい3441）（れい4770）（れい3842）（れい7171）（れい5807）（れい5480）（れい5256）（れい4635）,sensei-5371-8744-3441-4770-3842-7171-5807-5480-5256-4635,guru (var-5371) (var-8744) (var-3441) (var-4770) (var-3842) (var-7171) (var-5807) (var-5480) (var-5256) (var-4635),kata benda,auto-var
frase,えいががすきです（れい6794）（れい8541）（れい3253）,eiga ga suki desu-6794-8541-3253,Saya suka film (var-6794) (var-8541) (var-3253),frase,auto-var
perkenalan,こんにちは（れい4257）（れい5386）（れい3504）（れい4613）（れい9561）（れい2527）（れい6517）（れい8846）（れい9180）（れい9132）,konnichiwa-4257-5386-3504-4613-9561-2527-6517-8846-9180-9132,halo (var-4257) (var-5386) (var-3504) (var-4613) (var-9561) (var-2527) (var-6517) (var-8846) (var-9180) (var-9132),ungkapan,auto-var
frase,せんせいをみます（れい1409）（れい5422）（れい2084）（れい2403）（れい4346）（れい7302）（れい2657）（れい8518）（れい7895）（れい7782）,sensei o mimasu-1409-5422-2084-2403-4346-7302-2657-8518-7895-7782,Menonton guru (var-1409) (var-5422) (var-2084) (var-2403) (var-4346) (var-7302) (var-2657) (var-8518) (var-7895) (var-7782),frase,auto-var
kata kerja,たべる（れい4750）（れい8953）（れい7888）（れい5843）（れい4590）（れい2922）（れい4657）,taberu-4750-8953-7888-5843-4590-2922-4657,makan (var-4750) (var-8953) (var-7888) (var-5843) (var-4590) (var-2922) (var-4657),kata kerja,auto-var
frase,ありがとうございますをみます,arigatou gozaimasu o mimasu,Menonton terima kasih (sopan),frase,
kata sifat,たのしい（れい2424）（れい1520）（れい5552）（れい2584）（れい9201）（れい8962）,tanoshii-2424-1520-5552-2584-9201-8962,menyenangkan (var-2424) (var-1520) (var-5552) (var-2584) (var-9201) (var-8962),kata sifat,auto-var
kata sifat,たのしい（れい2424）（れい1520）（れい5552）（れい2584）（れい2200）（れい1420）,tanoshii-2424-1520-5552-2584-2200-1420,menyenangkan (var-2424) (var-1520) (var-5552) (var-2584) (var-2200) (var-1420),kata sifat,auto-var
frase,おんがくをします（れい8573）（れい5564）（れい3414）（れい1932）（れい3867）,ongaku o shimasu-8573-5564-3414-1932-3867,Melakukan musik (var-8573) (var-5564) (var-3414) (var-1932) (var-3867),frase,auto-var
keluarga,おとうさん（れい1488）（れい3615）（れい7498）（れい5136）（れい1845）,otousan-1488-3615-7498-5136-1845,ayah (sopan) (var-1488) (var-3615) (var-7498) (var-5136) (var-1845),kata benda,auto-var
angka,に（れい3927）（れい4335）（れい2592）（れい3290）（れい4555）（れい2072）,ni-3927-4335-2592-3290-4555-2072,dua (var-3927) (var-4335) (var-2592) (var-3290) (var-4555) (var-2072),angka,auto-var
frase,せんせいをみます（れい8428）（れい1998）（れい8508）（れい6280）（れい1256）,sensei o mimasu-8428-1998-8508-6280-1256,Menonton guru (var-8428) (var-1998) (var-8508) (var-6280) (var-1256),frase,auto-var
perkenalan,こんにちは（れい9443）,konnichiwa-9443,halo (var-9443),ungkapan,auto-var
perkenalan,こんにちは（れい3926）,konnichiwa-3926,halo (var-3926),ungkapan,auto-var
frase,いえにいきます（れい5374）（れい8579）（れい7615）（れい2697）（れい2889）（れい6692）（れい5374）（れい4519）,ie ni ikimasu-5374-8579-7615-2697-2889-6692-5374-4519,Pergi ke rumah (var-5374) (var-8579) (var-7615) (var-2697) (var-2889) (var-6692) (var-5374) (var-4519),frase,auto-var
kata sifat,たのしい（れい2424）（れい1520）（れい5552）（れい2584）（れい9201）（れい8357）,tanoshii-2424-1520-5552-2584-9201-8357,menyenangkan (var-2424) (var-1520) (var-5552) (var-2584) (var-9201) (var-8357),kata sifat,auto-var
frase,いえにいきます（れい1626）（れい6761）（れい1496）（れい3347）（れい1011）（れい9328）（れい2577）,ie ni ikimasu-1626-6761-1496-3347-1011-9328-2577,Pergi ke rumah (var-1626) (var-6761) (var-1496) (var-3347) (var-1011) (var-9328) (var-2577),frase,auto-var
hobi,おんがく（れい2604）（れい9751）（れい1645）（れい2627）（れい8430）（れい5224）,ongaku-2604-9751-1645-2627-8430-5224,musik (var-2604) (var-9751) (var-1645) (var-2627) (var-8430) (var-5224),kata benda,auto-var
hobi,えいが（れい7118）（れい4770）（れい4872）（れい2127）（れい5002）（れい1653）（れい4678）,eiga-7118-4770-4872-2127-5002-1653-4678,film (var-7118) (var-4770) (var-4872) (var-2127) (var-5002) (var-1653) (var-4678),kata benda,auto-var
sekolah,せんせい（れい5371）（れい5092）（れい2880）（れい5754）（れい9897）,sensei-5371-5092-2880-5754-9897,guru (var-5371) (var-5092) (var-2880) (var-5754) (var-9897),kata benda,auto-var
frase,ちちがすきです（れい4733）（れい4415）,chichi ga suki desu-4733-4415,Saya suka ayah (saya) (var-4733) (var-4415),frase,auto-var
frase,にをみます（れい6574）（れい4752）（れい2040）（れい8177）（れい3296）（れい9099）（れい7274）（れい1126）（れい3007）,ni o mimasu-6574-4752-2040-8177-3296-9099-7274-1126-3007,Menonton dua (var-6574) (var-4752) (var-2040) (var-8177) (var-3296) (var-9099) (var-7274) (var-1126) (var-3007),frase,auto-var
frase,いえにいきます（れい7924）（れい6820）（れい3340）（れい9797）（れい6138）（れい2891）（れい4443）（れい8827）（れい4920）（れい2229）,ie ni ikimasu-7924-6820-3340-9797-6138-2891-4443-8827-4920-2229,Pergi ke rumah (var-7924) (var-6820) (var-3340) (var-9797) (var-6138) (var-2891) (var-4443) (var-8827) (var-4920) (var-2229),frase,auto-var
hobi,えいが（れい4582）（れい3677）（れい4022）,eiga-4582-3677-4022,film (var-4582) (var-3677) (var-4022),kata benda,auto-var
hobi,えいが（れい4582）（れい1711）（れい3266）（れい2854）（れい4308）（れい3389）,eiga-4582-1711-3266-2854-4308-3389,film (var-4582) (var-1711) (var-3266) (var-2854) (var-4308) (var-3389),kata benda,auto-var
frase,いえにいきます（れい7924）（れい6820）（れい3340）（れい9797）（れい6138）（れい2891）（れい4443）（れい9008）,ie ni ikimasu-7924-6820-3340-9797-6138-2891-4443-9008,Pergi ke rumah (var-7924) (var-6820) (var-3340) (var-9797) (var-6138) (var-2891) (var-4443) (var-9008),frase,auto-var
kata kerja,たべる（れい9165）（れい8673）（れい6736）（れい8445）（れい6143）,taberu-9165-8673-6736-8445-6143,makan (var-9165) (var-8673) (var-6736) (var-8445) (var-6143),kata kerja,auto-var
keluarga,おとうさん（れい1488）（れい3615）（れい2519）（れい2684）（れい1686）（れい8191）,otousan-1488-3615-2519-2684-1686-8191,ayah (sopan) (var-1488) (var-3615) (var-2519) (var-2684) (var-1686) (var-8191),kata benda,auto-var
frase,いえにいきます（れい5374）（れい8579）（れい7615）（れい4978）,ie ni ikimasu-5374-8579-7615-4978,Pergi ke rumah (var-5374) (var-8579) (var-7615) (var-4978),frase,auto-var
kata sifat,たのしい（れい2424）（れい1520）（れい5552）（れい2584）（れい9727）（れい3718）,tanoshii-2424-1520-5552-2584-9727-3718,menyenangkan (var-2424) (var-1520) (var-5552) (var-2584) (var-9727) (var-3718),kata sifat,auto-var
sekolah,せんせい（れい3697）（れい7930）（れい5342）,sensei-3697-7930-5342,guru (var-3697) (var-7930) (var-5342),kata benda,auto-var
frase,いえにいきます（れい1319）（れい3979）（れい7861）（れい7504）（れい5216）（れい8258）,ie ni ikimasu-1319-3979-7861-7504-5216-8258,Pergi ke rumah (var-1319) (var-3979) (var-7861) (var-7504) (var-5216) (var-8258),frase,auto-var
keluarga,おとうさん（れい1488）（れい3615）（れい7498）（れい5136）（れい8381）（れい2858）（れい4759）（れい7917）,otousan-1488-3615-7498-5136-8381-2858-4759-7917,ayah (sopan) (var-1488) (var-3615) (var-7498) (var-5136) (var-8381) (var-2858) (var-4759) (var-7917),kata benda,auto-var
frase,たのしいをします（れい4611）（れい3060）（れい8242）,tanoshii o shimasu-4611-3060-8242,Melakukan menyenangkan (var-4611) (var-3060) (var-8242),frase,auto-var
frase,にをみます（れい8717）（れい7990）,ni o mimasu-8717-7990,Menonton dua (var-8717) (var-7990),frase,auto-var
keluarga,ちち（れい6514）（れい3287）（れい2133）（れい8826）,chichi-6514-3287-2133-8826,ayah (saya) (var-6514) (var-3287) (var-2133) (var-8826),kata benda,auto-var
kata sifat,たのしい（れい2424）（れい1520）（れい5552）（れい1916）（れい7252）,tanoshii-2424-1520-5552-1916-7252,menyenangkan (var-2424) (var-1520) (var-5552) (var-1916) (var-7252),kata sifat,auto-var
frase,ほんにいきます（れい3664）（れい9689）（れい4923）（れい2588）（れい4006）（れい7209）（れい1647）,hon ni ikimasu-3664-9689-4923-2588-4006-7209-1647,Pergi ke buku (var-3664) (var-9689) (var-4923) (var-2588) (var-4006) (var-7209) (var-1647),frase,auto-var
frase,にをみます（れい6016）（れい7563）（れい5389）,ni o mimasu-6016-7563-5389,Menonton dua (var-6016) (var-7563) (var-5389),frase,auto-var
frase,こんにちはをします（れい8711）（れい1724）（れい8381）,konnichiwa o shimasu-8711-1724-8381,Melakukan halo (var-8711) (var-1724) (var-8381),frase,auto-var
frase,たべますがすきです（れい2049）（れい2389）（れい2823）,tabemasu ga suki desu-2049-2389-2823,Saya suka makan (sopan) (var-2049) (var-2389) (var-2823),frase,auto-var
frase,せんせいをみます（れい4657）（れい8260）（れい6617）（れい1153）（れい6674）（れい8286）（れい9808）（れい3141）（れい8999）,sensei o mimasu-4657-8260-6617-1153-6674-8286-9808-3141-8999,Menonton guru (var-4657) (var-8260) (var-6617) (var-1153) (var-6674) (var-8286) (var-9808) (var-3141) (var-8999),frase,auto-var
hobi,えいが（れい7118）（れい4770）（れい3584）（れい7594）（れい1588）（れい5237）,eiga-7118-4770-3584-7594-1588-5237,film (var-7118) (var-4770) (var-3584) (var-7594) (var-1588) (var-5237),kata benda,auto-var
perkenalan,こんにちは（れい7689）,konnichiwa-7689,halo (var-7689),ungkapan,auto-var
frase,たべますがすきです（れい2139）（れい7227）（れい6313）（れい5820）（れい8033）（れい6644）（れい2475）（れい8835）（れい8301）,tabemasu ga suki desu-2139-7227-6313-5820-8033-6644-2475-8835-8301,Saya suka makan (sopan) (var-2139) (var-7227) (var-6313) (var-5820) (var-8033) (var-6644) (var-2475) (var-8835) (var-8301),frase,auto-var
frase,いえにいきます（れい5374）（れい8579）（れい7615）（れい4978）（れい9335）,ie ni ikimasu-5374-8579-7615-4978-9335,Pergi ke rumah (var-5374) (var-8579) (var-7615) (var-4978) (var-9335),frase,auto-var
frase,ちちがすきです（れい1750）（れい1993）（れい8043）（れい8648）（れい1251）（れい9275）（れい6792）（れい4844）,chichi ga suki desu-1750-1993-8043-8648-1251-9275-6792-4844,Saya suka ayah (saya) (var-1750) (var-1993) (var-8043) (var-8648) (var-1251) (var-9275) (var-6792) (var-4844),frase,auto-var
frase,せんせいをみます（れい4657）（れい6881）（れい1188）（れい2712）,sensei o mimasu-4657-6881-1188-2712,Menonton guru (var-4657) (var-6881) (var-1188) (var-2712),frase,auto-var
angka,に（れい3504）（れい3103）（れい3705）（れい7678）（れい8622）（れい5470）（れい1421）（れい5341）,ni-3504-3103-3705-7678-8622-5470-1421-5341,dua (var-3504) (var-3103) (var-3705) (var-7678) (var-8622) (var-5470) (var-1421) (var-5341),angka,auto-var
kata sifat,たのしい（れい2424）（れい1520）（れい5552）（れい1916）（れい7252）（れい2143）（れい8264）（れい4674）（れい5743）（れい1439）（れい7249）,tanoshii-2424-1520-5552-1916-7252-2143-8264-4674-5743-1439-7249,menyenangkan (var-2424) (var-1520) (var-5552) (var-1916) (var-7252) (var-2143) (var-8264) (var-4674) (var-5743) (var-1439) (var-7249),kata sifat,auto-var
angka,いち（れい1128）（れい2146）（れい3222）,ichi-1128-2146-3222,satu (var-1128) (var-2146) (var-3222),angka,auto-var
frase,がっこうにいきます（れい2869）（れい1422）（れい4159）,gakkou ni ikimasu-2869-1422-4159,Pergi ke sekolah (var-2869) (var-1422) (var-4159),frase,auto-var
kata sifat,たのしい（れい2424）（れい1520）（れい5552）（れい2584）（れい4593）（れい4295）（れい7528）（れい3588）,tanoshii-2424-1520-5552-2584-4593-4295-7528-3588,menyenangkan (var-2424) (var-1520) (var-5552) (var-2584) (var-4593) (var-4295) (var-7528) (var-3588),kata sifat,auto-var
kata sifat,たのしい（れい2424）（れい1520）（れい5552）（れい1916）（れい7252）（れい5352）（れい2591）（れい7018）（れい2118）,tanoshii-2424-1520-5552-1916-7252-5352-2591-7018-2118,menyenangkan (var-2424) (var-1520) (var-5552) (var-1916) (var-7252) (var-5352) (var-2591) (var-7018) (var-2118),kata sifat,auto-var
frase,えいががすきです（れい1434）（れい3547）（れい2512）（れい2052）（れい5853）,eiga ga suki desu-1434-3547-2512-2052-5853,Saya suka film (var-1434) (var-3547) (var-2512) (var-2052) (var-5853),frase,auto-var
frase,せんせいをみます（れい4657）（れい2669）（れい1100）（れい3365）（れい9450）（れい1305）,sensei o mimasu-4657-2669-1100-3365-9450-1305,Menonton guru (var-4657) (var-2669) (var-1100) (var-3365) (var-9450) (var-1305),frase,auto-var
sekolah,せんせい（れい7658）（れい4262）（れい1919）（れい5703）（れい6082）,sensei-7658-4262-1919-5703-6082,guru (var-7658) (var-4262) (var-1919) (var-5703) (var-6082),kata benda,auto-var
hobi,おんがく（れい3143）（れい2225）（れい6427）,ongaku-3143-2225-6427,musik (var-3143) (var-2225) (var-6427),kata benda,auto-var
kata sifat,たのしい（れい2424）（れい1520）（れい5552）（れい2584）（れい9201）（れい8962）（れい6143）（れい3146）（れい8349）,tanoshii-2424-1520-5552-2584-9201-8962-6143-3146-8349,menyenangkan (var-2424) (var-1520) (var-5552) (var-2584) (var-9201) (var-8962) (var-6143) (var-3146) (var-8349),kata sifat,auto-var
rumah_harian,いえ（れい9935）（れい2169）,ie-9935-2169,rumah (var-9935) (var-2169),kata benda,auto-var
keluarga,ちち（れい6514）（れい3287）（れい2982）（れい2771）（れい9903）,chichi-6514-3287-2982-2771-9903,ayah (saya) (var-6514) (var-3287) (var-2982) (var-2771) (var-9903),kata benda,auto-var
keluarga,ちち（れい6514）（れい3045）（れい1823）（れい1430）（れい3497）,chichi-6514-3045-1823-1430-3497,ayah (saya) (var-6514) (var-3045) (var-1823) (var-1430) (var-3497),kata benda,auto-var
hobi,おんがく（れい6038）,ongaku-6038,musik (var-6038),kata benda,auto-var
frase,いえにいきます（れい5374）（れい8579）（れい7615）（れい4978）（れい8569）（れい4948）,ie ni ikimasu-5374-8579-7615-4978-8569-4948,Pergi ke rumah (var-5374) (var-8579) (var-7615) (var-4978) (var-8569) (var-4948),frase,auto-var
keluarga,おとうさん（れい2679）（れい1828）（れい7868）（れい4531）,otousan-2679-1828-7868-4531,ayah (sopan) (var-2679) (var-1828) (var-7868) (var-4531),kata benda,auto-var
frase,せんせいをみます（れい4657）（れい5889）（れい1441）（れい1853）（れい6928）,sensei o mimasu-4657-5889-1441-1853-6928,Menonton guru (var-4657) (var-5889) (var-1441) (var-1853) (var-6928),frase,auto-var
hobi,えいが（れい7118）（れい4770）（れい4872）（れい2127）（れい5002）,eiga-7118-4770-4872-2127-5002,film (var-7118) (var-4770) (var-4872) (var-2127) (var-5002),kata benda,auto-var
keluarga,おとうさん（れい2679）（れい1828）（れい7868）（れい4963）,otousan-2679-1828-7868-4963,ayah (sopan) (var-2679) (var-1828) (var-7868) (var-4963),kata benda,auto-var
angka,に（れい3504）（れい8178）（れい6881）（れい9800）（れい7670）,ni-3504-8178-6881-9800-7670,dua (var-3504) (var-8178) (var-6881) (var-9800) (var-7670),angka,auto-var
keluarga,おとうさん（れい2679）（れい1828）（れい9270）（れい5634）（れい1072）（れい1328）,otousan-2679-1828-9270-5634-1072-1328,ayah (sopan) (var-2679) (var-1828) (var-9270) (var-5634) (var-1072) (var-1328),kata benda,auto-var
